
19-04-2016 21:19:06:130 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:6, Y:18, Key:A)
19-04-2016 21:19:06:373 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:6, Y:9, Key:D)
19-04-2016 21:19:06:373 - D: 	Beginning round processing
19-04-2016 21:19:06:373 - D: 	Removing Bomb Explosions from map
19-04-2016 21:19:06:373 - D: 	Decreasing Bomb Timers
19-04-2016 21:19:06:373 - D: 	Detonating Bombs
19-04-2016 21:19:06:373 - I: 	Detonating Bomb BombEntity(X:7, Y:8, Radius:32, Timer:0, Owner:D)
19-04-2016 21:19:06:373 - D: 	Processing Player Commands
19-04-2016 21:19:06:373 - D: 	Applying player power ups
19-04-2016 21:19:06:373 - D: 	Destroying marked entities
19-04-2016 21:19:06:373 - D: 	Destroyed Entity DestructibleWallEntity(X:8, Y:8)
19-04-2016 21:19:06:373 - I: 	Player PlayerEntity(X:6, Y:19, Key:A) has a movement coverage of 23,49% for the map
19-04-2016 21:19:06:373 - I: 	Player PlayerEntity(X:6, Y:10, Key:D) has a movement coverage of 29,54% for the map
19-04-2016 21:19:06:373 - D: 	Round processing complete
