
16-04-2016 22:11:13:598 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:4, Y:4, Key:A)
16-04-2016 22:11:13:895 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:18, Y:18, Key:B)
16-04-2016 22:11:14:192 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:4, Y:18, Key:C)
16-04-2016 22:11:14:489 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:18, Y:4, Key:D)
16-04-2016 22:11:14:489 - D: 	Beginning round processing
16-04-2016 22:11:14:489 - D: 	Removing Bomb Explosions from map
16-04-2016 22:11:14:489 - D: 	Decreasing Bomb Timers
16-04-2016 22:11:14:489 - D: 	Detonating Bombs
16-04-2016 22:11:14:489 - D: 	Processing Player Commands
16-04-2016 22:11:14:489 - D: 	Applying player power ups
16-04-2016 22:11:14:489 - D: 	Destroying marked entities
16-04-2016 22:11:14:489 - I: 	Player PlayerEntity(X:5, Y:4, Key:A) has a movement coverage of 2,14% for the map
16-04-2016 22:11:14:489 - I: 	Player PlayerEntity(X:17, Y:18, Key:B) has a movement coverage of 2,14% for the map
16-04-2016 22:11:14:489 - I: 	Player PlayerEntity(X:5, Y:18, Key:C) has a movement coverage of 2,14% for the map
16-04-2016 22:11:14:489 - I: 	Player PlayerEntity(X:17, Y:4, Key:D) has a movement coverage of 2,14% for the map
16-04-2016 22:11:14:489 - D: 	Round processing complete
