
19-04-2016 21:17:28:001 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:6, Y:15, Key:A)
19-04-2016 21:17:28:226 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:16, Y:13, Key:B)
19-04-2016 21:17:28:509 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:12, Y:6, Key:D)
19-04-2016 21:17:28:509 - D: 	Beginning round processing
19-04-2016 21:17:28:509 - D: 	Removing Bomb Explosions from map
19-04-2016 21:17:28:509 - D: 	Decreasing Bomb Timers
19-04-2016 21:17:28:509 - D: 	Detonating Bombs
19-04-2016 21:17:28:509 - I: 	Detonating Bomb BombEntity(X:18, Y:12, Radius:1, Timer:0, Owner:B)
19-04-2016 21:17:28:509 - I: 	Detonating Bomb BombEntity(X:8, Y:16, Radius:4, Timer:0, Owner:A)
19-04-2016 21:17:28:509 - D: 	Processing Player Commands
19-04-2016 21:17:28:509 - D: 	Applying player power ups
19-04-2016 21:17:28:509 - D: 	Destroying marked entities
19-04-2016 21:17:28:510 - D: 	Destroyed Entity DestructibleWallEntity(X:19, Y:12)
19-04-2016 21:17:28:510 - D: 	Destroyed Entity DestructibleWallEntity(X:18, Y:13)
19-04-2016 21:17:28:510 - D: 	Destroyed Entity DestructibleWallEntity(X:8, Y:15)
19-04-2016 21:17:28:510 - I: 	Player PlayerEntity(X:6, Y:14, Key:A) has a movement coverage of 9,61% for the map
19-04-2016 21:17:28:510 - I: 	Player PlayerEntity(X:16, Y:14, Key:B) has a movement coverage of 9,61% for the map
19-04-2016 21:17:28:510 - I: 	Player PlayerEntity(X:13, Y:6, Key:D) has a movement coverage of 7,47% for the map
19-04-2016 21:17:28:510 - D: 	Round processing complete
