
19-04-2016 21:17:53:813 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:10, Y:14, Key:A)
19-04-2016 21:17:54:045 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:15, Y:14, Key:D)
19-04-2016 21:17:54:045 - D: 	Beginning round processing
19-04-2016 21:17:54:045 - D: 	Removing Bomb Explosions from map
19-04-2016 21:17:54:045 - D: 	Decreasing Bomb Timers
19-04-2016 21:17:54:045 - D: 	Detonating Bombs
19-04-2016 21:17:54:045 - D: 	Processing Player Commands
19-04-2016 21:17:54:045 - D: 	Applying player power ups
19-04-2016 21:17:54:045 - D: 	Destroying marked entities
19-04-2016 21:17:54:045 - I: 	Player PlayerEntity(X:10, Y:15, Key:A) has a movement coverage of 12,46% for the map
19-04-2016 21:17:54:045 - I: 	Player PlayerEntity(X:16, Y:14, Key:D) has a movement coverage of 12,10% for the map
19-04-2016 21:17:54:045 - D: 	Round processing complete
