
19-04-2016 21:16:46:454 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:4, Y:6, Key:A)
19-04-2016 21:16:46:790 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:18, Y:17, Key:B)
19-04-2016 21:16:47:012 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:5, Y:16, Key:C)
19-04-2016 21:16:47:319 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:18, Y:5, Key:D)
19-04-2016 21:16:47:319 - D: 	Beginning round processing
19-04-2016 21:16:47:319 - D: 	Removing Bomb Explosions from map
19-04-2016 21:16:47:319 - D: 	Decreasing Bomb Timers
19-04-2016 21:16:47:319 - D: 	Detonating Bombs
19-04-2016 21:16:47:319 - D: 	Processing Player Commands
19-04-2016 21:16:47:319 - D: 	Applying player power ups
19-04-2016 21:16:47:319 - D: 	Destroying marked entities
19-04-2016 21:16:47:319 - I: 	Player PlayerEntity(X:4, Y:7, Key:A) has a movement coverage of 3,20% for the map
19-04-2016 21:16:47:319 - I: 	Player PlayerEntity(X:18, Y:16, Key:B) has a movement coverage of 3,20% for the map
19-04-2016 21:16:47:319 - I: 	Player PlayerEntity(X:4, Y:16, Key:C) has a movement coverage of 2,85% for the map
19-04-2016 21:16:47:319 - I: 	Player PlayerEntity(X:18, Y:6, Key:D) has a movement coverage of 3,20% for the map
19-04-2016 21:16:47:319 - D: 	Round processing complete
