
19-04-2016 21:18:14:515 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:8, Y:12, Key:A)
19-04-2016 21:18:14:737 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:13, Y:14, Key:D)
19-04-2016 21:18:14:737 - D: 	Beginning round processing
19-04-2016 21:18:14:737 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:14:738 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:14:738 - D: 	Detonating Bombs
19-04-2016 21:18:14:738 - D: 	Processing Player Commands
19-04-2016 21:18:14:738 - D: 	Applying player power ups
19-04-2016 21:18:14:738 - D: 	Destroying marked entities
19-04-2016 21:18:14:738 - I: 	Player PlayerEntity(X:9, Y:12, Key:A) has a movement coverage of 15,30% for the map
19-04-2016 21:18:14:738 - I: 	Player PlayerEntity(X:12, Y:14, Key:D) has a movement coverage of 16,01% for the map
19-04-2016 21:18:14:738 - D: 	Round processing complete
