
19-04-2016 21:18:09:205 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:10, Y:15, Key:A)
19-04-2016 21:18:09:427 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:13, Y:16, Key:D)
19-04-2016 21:18:09:427 - D: 	Beginning round processing
19-04-2016 21:18:09:427 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:09:427 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:09:427 - D: 	Detonating Bombs
19-04-2016 21:18:09:427 - D: 	Processing Player Commands
19-04-2016 21:18:09:427 - D: 	Applying player power ups
19-04-2016 21:18:09:427 - D: 	Destroying marked entities
19-04-2016 21:18:09:428 - I: 	Player PlayerEntity(X:10, Y:14, Key:A) has a movement coverage of 14,59% for the map
19-04-2016 21:18:09:428 - I: 	Player PlayerEntity(X:14, Y:16, Key:D) has a movement coverage of 15,30% for the map
19-04-2016 21:18:09:428 - D: 	Round processing complete
