
19-04-2016 21:17:05:302 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:6, Y:7, Key:A)
19-04-2016 21:17:05:531 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:15, Y:16, Key:B)
19-04-2016 21:17:05:758 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:6, Y:14, Key:C)
19-04-2016 21:17:05:985 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:16, Y:7, Key:D)
19-04-2016 21:17:05:985 - D: 	Beginning round processing
19-04-2016 21:17:05:985 - D: 	Removing Bomb Explosions from map
19-04-2016 21:17:05:985 - D: 	Decreasing Bomb Timers
19-04-2016 21:17:05:985 - D: 	Detonating Bombs
19-04-2016 21:17:05:985 - I: 	Detonating Bomb BombEntity(X:15, Y:6, Radius:2, Timer:0, Owner:D)
19-04-2016 21:17:05:985 - I: 	Detonating Bomb BombEntity(X:7, Y:16, Radius:2, Timer:0, Owner:C)
19-04-2016 21:17:05:985 - D: 	Processing Player Commands
19-04-2016 21:17:05:985 - D: 	Applying player power ups
19-04-2016 21:17:05:985 - D: 	Destroying marked entities
19-04-2016 21:17:05:985 - D: 	Destroyed Entity DestructibleWallEntity(X:14, Y:6)
19-04-2016 21:17:05:985 - D: 	Destroyed Entity DestructibleWallEntity(X:8, Y:16)
19-04-2016 21:17:05:986 - I: 	Player PlayerEntity(X:6, Y:6, Key:A) has a movement coverage of 5,34% for the map
19-04-2016 21:17:05:986 - I: 	Player PlayerEntity(X:15, Y:16, Key:B) has a movement coverage of 5,34% for the map
19-04-2016 21:17:05:986 - I: 	Player PlayerEntity(X:6, Y:13, Key:C) has a movement coverage of 5,69% for the map
19-04-2016 21:17:05:986 - I: 	Player PlayerEntity(X:16, Y:7, Key:D) has a movement coverage of 5,69% for the map
19-04-2016 21:17:05:986 - D: 	Round processing complete
