
19-04-2016 21:18:30:116 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:15, Y:14, Key:A)
19-04-2016 21:18:30:394 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:20, Y:16, Key:D)
19-04-2016 21:18:30:394 - D: 	Beginning round processing
19-04-2016 21:18:30:394 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:30:394 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:30:394 - D: 	Detonating Bombs
19-04-2016 21:18:30:394 - D: 	Processing Player Commands
19-04-2016 21:18:30:394 - D: 	Applying player power ups
19-04-2016 21:18:30:394 - D: 	Destroying marked entities
19-04-2016 21:18:30:394 - I: 	Player PlayerEntity(X:14, Y:14, Key:A) has a movement coverage of 18,86% for the map
19-04-2016 21:18:30:394 - I: 	Player PlayerEntity(X:19, Y:16, Key:D) has a movement coverage of 18,51% for the map
19-04-2016 21:18:30:394 - D: 	Round processing complete
