
19-04-2016 21:19:07:307 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:6, Y:20, Key:A)
19-04-2016 21:19:07:560 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:5, Y:10, Key:D)
19-04-2016 21:19:07:560 - D: 	Beginning round processing
19-04-2016 21:19:07:560 - D: 	Removing Bomb Explosions from map
19-04-2016 21:19:07:560 - D: 	Decreasing Bomb Timers
19-04-2016 21:19:07:560 - D: 	Detonating Bombs
19-04-2016 21:19:07:560 - D: 	Processing Player Commands
19-04-2016 21:19:07:560 - D: 	Applying player power ups
19-04-2016 21:19:07:560 - D: 	Destroying marked entities
19-04-2016 21:19:07:560 - I: 	Player PlayerEntity(X:6, Y:20, Key:A) has a movement coverage of 23,84% for the map
19-04-2016 21:19:07:560 - I: 	Player PlayerEntity(X:4, Y:10, Key:D) has a movement coverage of 30,25% for the map
19-04-2016 21:19:07:560 - D: 	Round processing complete
