
19-04-2016 21:17:43:718 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:6, Y:14, Key:A)
19-04-2016 21:17:44:040 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:6, Y:18, Key:B)
19-04-2016 21:17:44:279 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:13, Y:8, Key:D)
19-04-2016 21:17:44:279 - D: 	Beginning round processing
19-04-2016 21:17:44:279 - D: 	Removing Bomb Explosions from map
19-04-2016 21:17:44:279 - D: 	Decreasing Bomb Timers
19-04-2016 21:17:44:279 - D: 	Detonating Bombs
19-04-2016 21:17:44:279 - D: 	Processing Player Commands
19-04-2016 21:17:44:280 - D: 	Applying player power ups
19-04-2016 21:17:44:280 - D: 	Destroying marked entities
19-04-2016 21:17:44:280 - I: 	Player PlayerEntity(X:6, Y:13, Key:A) has a movement coverage of 11,03% for the map
19-04-2016 21:17:44:280 - I: 	Player PlayerEntity(X:6, Y:18, Key:B) has a movement coverage of 13,52% for the map
19-04-2016 21:17:44:280 - I: 	Player PlayerEntity(X:14, Y:8, Key:D) has a movement coverage of 8,90% for the map
19-04-2016 21:17:44:280 - D: 	Round processing complete
