
19-04-2016 21:18:05:290 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:9, Y:14, Key:A)
19-04-2016 21:18:05:611 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:14, Y:15, Key:D)
19-04-2016 21:18:05:611 - D: 	Beginning round processing
19-04-2016 21:18:05:611 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:05:611 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:05:611 - D: 	Detonating Bombs
19-04-2016 21:18:05:611 - D: 	Processing Player Commands
19-04-2016 21:18:05:611 - D: 	Applying player power ups
19-04-2016 21:18:05:611 - D: 	Destroying marked entities
19-04-2016 21:18:05:611 - I: 	Player PlayerEntity(X:10, Y:14, Key:A) has a movement coverage of 14,23% for the map
19-04-2016 21:18:05:611 - I: 	Player PlayerEntity(X:14, Y:16, Key:D) has a movement coverage of 14,59% for the map
19-04-2016 21:18:05:611 - D: 	Round processing complete
