
19-04-2016 21:17:14:555 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:5, Y:8, Key:A)
19-04-2016 21:17:14:780 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:16, Y:13, Key:B)
19-04-2016 21:17:15:004 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:15, Y:6, Key:D)
19-04-2016 21:17:15:004 - D: 	Beginning round processing
19-04-2016 21:17:15:004 - D: 	Removing Bomb Explosions from map
19-04-2016 21:17:15:004 - D: 	Decreasing Bomb Timers
19-04-2016 21:17:15:004 - D: 	Detonating Bombs
19-04-2016 21:17:15:004 - D: 	Processing Player Commands
19-04-2016 21:17:15:004 - D: 	Applying player power ups
19-04-2016 21:17:15:004 - D: 	Destroying marked entities
19-04-2016 21:17:15:004 - I: 	Player PlayerEntity(X:6, Y:8, Key:A) has a movement coverage of 6,05% for the map
19-04-2016 21:17:15:004 - I: 	Player PlayerEntity(X:16, Y:12, Key:B) has a movement coverage of 6,76% for the map
19-04-2016 21:17:15:004 - I: 	Player PlayerEntity(X:16, Y:6, Key:D) has a movement coverage of 6,05% for the map
19-04-2016 21:17:15:004 - D: 	Round processing complete
