
19-04-2016 21:18:28:422 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:12, Y:14, Key:A)
19-04-2016 21:18:28:642 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:18, Y:15, Key:D)
19-04-2016 21:18:28:642 - D: 	Beginning round processing
19-04-2016 21:18:28:642 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:28:642 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:28:642 - D: 	Detonating Bombs
19-04-2016 21:18:28:642 - D: 	Processing Player Commands
19-04-2016 21:18:28:642 - D: 	Applying player power ups
19-04-2016 21:18:28:642 - D: 	Destroying marked entities
19-04-2016 21:18:28:642 - I: 	Player PlayerEntity(X:13, Y:14, Key:A) has a movement coverage of 18,15% for the map
19-04-2016 21:18:28:642 - I: 	Player PlayerEntity(X:18, Y:16, Key:D) has a movement coverage of 17,79% for the map
19-04-2016 21:18:28:642 - D: 	Round processing complete
