
19-04-2016 21:16:38:294 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:4, Y:4, Key:A)
19-04-2016 21:16:38:607 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:19, Y:20, Key:B)
19-04-2016 21:16:38:858 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:4, Y:18, Key:C)
19-04-2016 21:16:39:143 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:19, Y:2, Key:D)
19-04-2016 21:16:39:143 - D: 	Beginning round processing
19-04-2016 21:16:39:143 - D: 	Removing Bomb Explosions from map
19-04-2016 21:16:39:143 - D: 	Decreasing Bomb Timers
19-04-2016 21:16:39:143 - D: 	Detonating Bombs
19-04-2016 21:16:39:143 - D: 	Processing Player Commands
19-04-2016 21:16:39:143 - D: 	Applying player power ups
19-04-2016 21:16:39:143 - D: 	Destroying marked entities
19-04-2016 21:16:39:143 - I: 	Player PlayerEntity(X:4, Y:4, Key:A) has a movement coverage of 1,78% for the map
19-04-2016 21:16:39:143 - I: 	Player PlayerEntity(X:20, Y:20, Key:B) has a movement coverage of 1,07% for the map
19-04-2016 21:16:39:143 - I: 	Player PlayerEntity(X:4, Y:18, Key:C) has a movement coverage of 1,78% for the map
19-04-2016 21:16:39:143 - I: 	Player PlayerEntity(X:20, Y:2, Key:D) has a movement coverage of 1,07% for the map
19-04-2016 21:16:39:143 - D: 	Round processing complete
