
19-04-2016 21:19:10:109 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:4, Y:18, Key:A)
19-04-2016 21:19:10:331 - I: 	Added Command GameEngine.Commands.PlayerCommands.TriggerBombCommand for Player PlayerEntity(X:3, Y:12, Key:D)
19-04-2016 21:19:10:331 - D: 	Beginning round processing
19-04-2016 21:19:10:331 - D: 	Removing Bomb Explosions from map
19-04-2016 21:19:10:331 - D: 	Decreasing Bomb Timers
19-04-2016 21:19:10:331 - D: 	Detonating Bombs
19-04-2016 21:19:10:331 - D: 	Processing Player Commands
19-04-2016 21:19:10:331 - D: 	Applying player power ups
19-04-2016 21:19:10:331 - D: 	Destroying marked entities
19-04-2016 21:19:10:331 - I: 	Player PlayerEntity(X:3, Y:18, Key:A) has a movement coverage of 24,56% for the map
19-04-2016 21:19:10:331 - I: 	Player PlayerEntity(X:3, Y:12, Key:D) has a movement coverage of 31,32% for the map
19-04-2016 21:19:10:331 - D: 	Round processing complete
