
19-04-2016 21:17:19:543 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:6, Y:12, Key:A)
19-04-2016 21:17:19:798 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:15, Y:10, Key:B)
19-04-2016 21:17:20:057 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:16, Y:7, Key:D)
19-04-2016 21:17:20:057 - D: 	Beginning round processing
19-04-2016 21:17:20:057 - D: 	Removing Bomb Explosions from map
19-04-2016 21:17:20:057 - D: 	Decreasing Bomb Timers
19-04-2016 21:17:20:057 - D: 	Detonating Bombs
19-04-2016 21:17:20:057 - D: 	Processing Player Commands
19-04-2016 21:17:20:057 - D: 	Applying player power ups
19-04-2016 21:17:20:057 - D: 	Destroying marked entities
19-04-2016 21:17:20:057 - I: 	Player PlayerEntity(X:6, Y:13, Key:A) has a movement coverage of 7,83% for the map
19-04-2016 21:17:20:057 - I: 	Player PlayerEntity(X:16, Y:10, Key:B) has a movement coverage of 7,83% for the map
19-04-2016 21:17:20:057 - I: 	Player PlayerEntity(X:16, Y:6, Key:D) has a movement coverage of 6,41% for the map
19-04-2016 21:17:20:057 - D: 	Round processing complete
