
19-04-2016 21:18:54:754 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:6, Y:17, Key:A)
19-04-2016 21:18:54:979 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:6, Y:12, Key:D)
19-04-2016 21:18:54:979 - D: 	Beginning round processing
19-04-2016 21:18:54:979 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:54:980 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:54:980 - D: 	Detonating Bombs
19-04-2016 21:18:54:980 - D: 	Processing Player Commands
19-04-2016 21:18:54:980 - D: 	Applying player power ups
19-04-2016 21:18:54:980 - D: 	Destroying marked entities
19-04-2016 21:18:54:980 - I: 	Player PlayerEntity(X:6, Y:16, Key:A) has a movement coverage of 23,49% for the map
19-04-2016 21:18:54:980 - I: 	Player PlayerEntity(X:6, Y:11, Key:D) has a movement coverage of 26,33% for the map
19-04-2016 21:18:54:980 - D: 	Round processing complete
