
19-04-2016 21:16:59:779 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:5, Y:4, Key:A)
19-04-2016 21:17:00:093 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:18, Y:14, Key:B)
19-04-2016 21:17:00:323 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:7, Y:16, Key:C)
19-04-2016 21:17:00:551 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:16, Y:6, Key:D)
19-04-2016 21:17:00:551 - D: 	Beginning round processing
19-04-2016 21:17:00:551 - D: 	Removing Bomb Explosions from map
19-04-2016 21:17:00:551 - D: 	Decreasing Bomb Timers
19-04-2016 21:17:00:551 - D: 	Detonating Bombs
19-04-2016 21:17:00:551 - I: 	Detonating Bomb BombEntity(X:6, Y:15, Radius:2, Timer:0, Owner:C)
19-04-2016 21:17:00:551 - D: 	Processing Player Commands
19-04-2016 21:17:00:551 - D: 	Applying player power ups
19-04-2016 21:17:00:551 - D: 	Destroying marked entities
19-04-2016 21:17:00:551 - D: 	Destroyed Entity DestructibleWallEntity(X:6, Y:14)
19-04-2016 21:17:00:551 - I: 	Player PlayerEntity(X:6, Y:4, Key:A) has a movement coverage of 4,27% for the map
19-04-2016 21:17:00:551 - I: 	Player PlayerEntity(X:18, Y:15, Key:B) has a movement coverage of 4,63% for the map
19-04-2016 21:17:00:551 - I: 	Player PlayerEntity(X:7, Y:16, Key:C) has a movement coverage of 4,98% for the map
19-04-2016 21:17:00:551 - I: 	Player PlayerEntity(X:15, Y:6, Key:D) has a movement coverage of 5,34% for the map
19-04-2016 21:17:00:551 - D: 	Round processing complete
