
19-04-2016 21:18:56:487 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:6, Y:14, Key:A)
19-04-2016 21:18:56:711 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:6, Y:9, Key:D)
19-04-2016 21:18:56:711 - D: 	Beginning round processing
19-04-2016 21:18:56:711 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:56:711 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:56:711 - D: 	Detonating Bombs
19-04-2016 21:18:56:711 - D: 	Processing Player Commands
19-04-2016 21:18:56:711 - D: 	Applying player power ups
19-04-2016 21:18:56:711 - D: 	Destroying marked entities
19-04-2016 21:18:56:711 - I: 	Player PlayerEntity(X:6, Y:13, Key:A) has a movement coverage of 23,49% for the map
19-04-2016 21:18:56:711 - I: 	Player PlayerEntity(X:6, Y:8, Key:D) has a movement coverage of 27,40% for the map
19-04-2016 21:18:56:711 - D: 	Round processing complete
