
19-04-2016 21:17:11:132 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:4, Y:6, Key:A)
19-04-2016 21:17:11:468 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:16, Y:14, Key:B)
19-04-2016 21:17:11:705 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:6, Y:14, Key:C)
19-04-2016 21:17:12:021 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:14, Y:6, Key:D)
19-04-2016 21:17:12:021 - D: 	Beginning round processing
19-04-2016 21:17:12:021 - D: 	Removing Bomb Explosions from map
19-04-2016 21:17:12:021 - D: 	Decreasing Bomb Timers
19-04-2016 21:17:12:021 - D: 	Detonating Bombs
19-04-2016 21:17:12:021 - I: 	Detonating Bomb BombEntity(X:16, Y:7, Radius:2, Timer:0, Owner:D)
19-04-2016 21:17:12:021 - D: 	Processing Player Commands
19-04-2016 21:17:12:021 - D: 	Applying player power ups
19-04-2016 21:17:12:021 - D: 	Destroying marked entities
19-04-2016 21:17:12:021 - D: 	Destroyed Entity DestructibleWallEntity(X:16, Y:8)
19-04-2016 21:17:12:021 - I: 	Player PlayerEntity(X:4, Y:7, Key:A) has a movement coverage of 5,34% for the map
19-04-2016 21:17:12:021 - I: 	Player PlayerEntity(X:16, Y:14, Key:B) has a movement coverage of 6,05% for the map
19-04-2016 21:17:12:021 - I: 	Player PlayerEntity(X:6, Y:13, Key:C) has a movement coverage of 5,69% for the map
19-04-2016 21:17:12:021 - I: 	Player PlayerEntity(X:14, Y:6, Key:D) has a movement coverage of 6,05% for the map
19-04-2016 21:17:12:021 - D: 	Round processing complete
