
19-04-2016 21:19:03:775 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:6, Y:14, Key:A)
19-04-2016 21:19:04:074 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:7, Y:8, Key:D)
19-04-2016 21:19:04:074 - D: 	Beginning round processing
19-04-2016 21:19:04:074 - D: 	Removing Bomb Explosions from map
19-04-2016 21:19:04:074 - D: 	Decreasing Bomb Timers
19-04-2016 21:19:04:074 - D: 	Detonating Bombs
19-04-2016 21:19:04:074 - D: 	Processing Player Commands
19-04-2016 21:19:04:074 - D: 	Applying player power ups
19-04-2016 21:19:04:074 - D: 	Destroying marked entities
19-04-2016 21:19:04:074 - I: 	Player PlayerEntity(X:6, Y:15, Key:A) has a movement coverage of 23,49% for the map
19-04-2016 21:19:04:074 - I: 	Player PlayerEntity(X:7, Y:8, Key:D) has a movement coverage of 29,54% for the map
19-04-2016 21:19:04:074 - D: 	Round processing complete
