
19-04-2016 21:18:10:924 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:10, Y:13, Key:A)
19-04-2016 21:18:11:147 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:14, Y:15, Key:D)
19-04-2016 21:18:11:147 - D: 	Beginning round processing
19-04-2016 21:18:11:147 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:11:147 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:11:147 - D: 	Detonating Bombs
19-04-2016 21:18:11:147 - I: 	Detonating Bomb BombEntity(X:12, Y:16, Radius:8, Timer:0, Owner:D)
19-04-2016 21:18:11:147 - D: 	Processing Player Commands
19-04-2016 21:18:11:147 - D: 	Applying player power ups
19-04-2016 21:18:11:147 - D: 	Destroying marked entities
19-04-2016 21:18:11:147 - D: 	Destroyed Entity DestructibleWallEntity(X:12, Y:15)
19-04-2016 21:18:11:147 - D: 	Destroyed Entity DestructibleWallEntity(X:20, Y:16)
19-04-2016 21:18:11:147 - D: 	Destroyed Entity DestructibleWallEntity(X:12, Y:19)
19-04-2016 21:18:11:147 - I: 	Player PlayerEntity(X:10, Y:14, Key:A) has a movement coverage of 14,95% for the map
19-04-2016 21:18:11:147 - I: 	Player PlayerEntity(X:14, Y:14, Key:D) has a movement coverage of 15,30% for the map
19-04-2016 21:18:11:147 - D: 	Round processing complete
