
19-04-2016 21:17:26:245 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:7, Y:16, Key:A)
19-04-2016 21:17:26:472 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:17, Y:12, Key:B)
19-04-2016 21:17:26:718 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:13, Y:6, Key:D)
19-04-2016 21:17:26:718 - D: 	Beginning round processing
19-04-2016 21:17:26:718 - D: 	Removing Bomb Explosions from map
19-04-2016 21:17:26:718 - D: 	Decreasing Bomb Timers
19-04-2016 21:17:26:718 - D: 	Detonating Bombs
19-04-2016 21:17:26:718 - I: 	Detonating Bomb BombEntity(X:14, Y:7, Radius:4, Timer:0, Owner:D)
19-04-2016 21:17:26:718 - D: 	Processing Player Commands
19-04-2016 21:17:26:718 - D: 	Applying player power ups
19-04-2016 21:17:26:718 - D: 	Destroying marked entities
19-04-2016 21:17:26:718 - D: 	Destroyed Entity DestructibleWallEntity(X:14, Y:8)
19-04-2016 21:17:26:719 - I: 	Player PlayerEntity(X:6, Y:16, Key:A) has a movement coverage of 9,61% for the map
19-04-2016 21:17:26:719 - I: 	Player PlayerEntity(X:16, Y:12, Key:B) has a movement coverage of 9,61% for the map
19-04-2016 21:17:26:719 - I: 	Player PlayerEntity(X:12, Y:6, Key:D) has a movement coverage of 7,47% for the map
19-04-2016 21:17:26:719 - D: 	Round processing complete
