
19-04-2016 21:18:23:663 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:11, Y:11, Key:A)
19-04-2016 21:18:23:904 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:12, Y:14, Key:D)
19-04-2016 21:18:23:904 - D: 	Beginning round processing
19-04-2016 21:18:23:904 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:23:904 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:23:904 - D: 	Detonating Bombs
19-04-2016 21:18:23:904 - D: 	Processing Player Commands
19-04-2016 21:18:23:904 - D: 	Applying player power ups
19-04-2016 21:18:23:904 - D: 	Destroying marked entities
19-04-2016 21:18:23:904 - I: 	Player PlayerEntity(X:11, Y:11, Key:A) has a movement coverage of 16,73% for the map
19-04-2016 21:18:23:904 - I: 	Player PlayerEntity(X:13, Y:14, Key:D) has a movement coverage of 16,37% for the map
19-04-2016 21:18:23:904 - D: 	Round processing complete
