
19-04-2016 21:17:23:655 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:7, Y:16, Key:A)
19-04-2016 21:17:23:896 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:18, Y:11, Key:B)
19-04-2016 21:17:24:132 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:14, Y:7, Key:D)
19-04-2016 21:17:24:132 - D: 	Beginning round processing
19-04-2016 21:17:24:132 - D: 	Removing Bomb Explosions from map
19-04-2016 21:17:24:132 - D: 	Decreasing Bomb Timers
19-04-2016 21:17:24:132 - D: 	Detonating Bombs
19-04-2016 21:17:24:132 - D: 	Processing Player Commands
19-04-2016 21:17:24:132 - D: 	Applying player power ups
19-04-2016 21:17:24:132 - D: 	Destroying marked entities
19-04-2016 21:17:24:132 - I: 	Player PlayerEntity(X:8, Y:16, Key:A) has a movement coverage of 9,61% for the map
19-04-2016 21:17:24:132 - I: 	Player PlayerEntity(X:18, Y:12, Key:B) has a movement coverage of 9,25% for the map
19-04-2016 21:17:24:132 - I: 	Player PlayerEntity(X:14, Y:6, Key:D) has a movement coverage of 6,76% for the map
19-04-2016 21:17:24:132 - D: 	Round processing complete
