
19-04-2016 21:18:27:845 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:11, Y:14, Key:A)
19-04-2016 21:18:28:085 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:18, Y:14, Key:D)
19-04-2016 21:18:28:085 - D: 	Beginning round processing
19-04-2016 21:18:28:085 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:28:085 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:28:085 - D: 	Detonating Bombs
19-04-2016 21:18:28:086 - D: 	Processing Player Commands
19-04-2016 21:18:28:086 - D: 	Applying player power ups
19-04-2016 21:18:28:086 - D: 	Destroying marked entities
19-04-2016 21:18:28:086 - I: 	Player PlayerEntity(X:12, Y:14, Key:A) has a movement coverage of 17,79% for the map
19-04-2016 21:18:28:086 - I: 	Player PlayerEntity(X:18, Y:15, Key:D) has a movement coverage of 17,44% for the map
19-04-2016 21:18:28:086 - D: 	Round processing complete
