
19-04-2016 21:17:04:205 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:6, Y:7, Key:A)
19-04-2016 21:17:04:436 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:16, Y:16, Key:B)
19-04-2016 21:17:04:663 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:6, Y:15, Key:C)
19-04-2016 21:17:04:910 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:16, Y:7, Key:D)
19-04-2016 21:17:04:910 - D: 	Beginning round processing
19-04-2016 21:17:04:910 - D: 	Removing Bomb Explosions from map
19-04-2016 21:17:04:910 - D: 	Decreasing Bomb Timers
19-04-2016 21:17:04:910 - D: 	Detonating Bombs
19-04-2016 21:17:04:910 - D: 	Processing Player Commands
19-04-2016 21:17:04:910 - D: 	Applying player power ups
19-04-2016 21:17:04:910 - D: 	Destroying marked entities
19-04-2016 21:17:04:911 - I: 	Player PlayerEntity(X:6, Y:7, Key:A) has a movement coverage of 5,34% for the map
19-04-2016 21:17:04:911 - I: 	Player PlayerEntity(X:15, Y:16, Key:B) has a movement coverage of 5,34% for the map
19-04-2016 21:17:04:911 - I: 	Player PlayerEntity(X:6, Y:14, Key:C) has a movement coverage of 5,34% for the map
19-04-2016 21:17:04:911 - I: 	Player PlayerEntity(X:16, Y:7, Key:D) has a movement coverage of 5,69% for the map
19-04-2016 21:17:04:911 - D: 	Round processing complete
