
19-04-2016 21:18:53:610 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:5, Y:18, Key:A)
19-04-2016 21:18:53:839 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:6, Y:14, Key:D)
19-04-2016 21:18:53:839 - D: 	Beginning round processing
19-04-2016 21:18:53:839 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:53:839 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:53:839 - D: 	Detonating Bombs
19-04-2016 21:18:53:839 - I: 	Detonating Bomb BombEntity(X:4, Y:20, Radius:16, Timer:0, Owner:A)
19-04-2016 21:18:53:839 - D: 	Processing Player Commands
19-04-2016 21:18:53:839 - D: 	Applying player power ups
19-04-2016 21:18:53:839 - D: 	Destroying marked entities
19-04-2016 21:18:53:839 - D: 	Destroyed Entity DestructibleWallEntity(X:5, Y:20)
19-04-2016 21:18:53:839 - I: 	Player PlayerEntity(X:6, Y:18, Key:A) has a movement coverage of 23,13% for the map
19-04-2016 21:18:53:839 - I: 	Player PlayerEntity(X:6, Y:13, Key:D) has a movement coverage of 25,62% for the map
19-04-2016 21:18:53:839 - D: 	Round processing complete
