
19-04-2016 21:18:19:033 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:8, Y:11, Key:A)
19-04-2016 21:18:19:271 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:14, Y:16, Key:D)
19-04-2016 21:18:19:271 - D: 	Beginning round processing
19-04-2016 21:18:19:271 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:19:271 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:19:271 - D: 	Detonating Bombs
19-04-2016 21:18:19:271 - I: 	Detonating Bomb BombEntity(X:10, Y:12, Radius:8, Timer:0, Owner:A)
19-04-2016 21:18:19:271 - D: 	Processing Player Commands
19-04-2016 21:18:19:271 - D: 	Applying player power ups
19-04-2016 21:18:19:271 - D: 	Destroying marked entities
19-04-2016 21:18:19:271 - D: 	Destroyed Entity DestructibleWallEntity(X:10, Y:11)
19-04-2016 21:18:19:271 - D: 	Destroyed Entity DestructibleWallEntity(X:11, Y:12)
19-04-2016 21:18:19:271 - I: 	Player PlayerEntity(X:8, Y:11, Key:A) has a movement coverage of 16,01% for the map
19-04-2016 21:18:19:271 - I: 	Player PlayerEntity(X:14, Y:16, Key:D) has a movement coverage of 16,01% for the map
19-04-2016 21:18:19:271 - D: 	Round processing complete
